SNAME,SUBNATIONS_SRANKS
Aeschynomene virginica,"DE(SX), MD(S1), NC(S1), NJ(S1), PA(SX), VA(S2)"
Aesculus flava,"AL(SNR), GA(S4), GS(P5), IL(SNR), IN(S3), KY(S5), MD(SNR), MS(SNR), NC(S5), NJ(SNA), OH(SNR), PA(SNR), SC(SNR), TN(SNR), VA(S4S5), WV(S5)"
Aesculus glabra,"AL(SNR), AR(SNR), GA(S2), GS(PNR), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(S5), ME(SNA), MI(SNR), MN(SNA), MO(SNR), MS(S2?), NE(SNR), NH(SNR), NJ(SNA), NY(SNA), OH(SNR), OK(SNR), PA(SNR), TN(SNR), TV(SNR), TX(SNR), WI(SNA), WV(S3), WY(SNR), ON(S1)"
Aesculus glabra var. glabra,"AL(SNR), AR(SNR), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KS(S1), KY(S5), ME(SNA), MI(SNR), MO(SNR), MS(SNR), NH(SNR), NJ(SNA), NY(SNA), OH(SNR), OK(SNR), PA(SNR), TN(SNR), TX(SNR), WI(SNA), WV(S3), ON(S1)"
Agalinis auriculata,"AL(S1), AR(S1), DC(SH), IA(S2), IL(S2), IN(S1), KS(S2), KY(S1), MD(S1), MI(SX), MN(S1), MO(S3), MS(S1), NJ(SX), OH(S1), OK(S1), PA(S1), SC(S1), TN(S2), TV(SNR), TX(SH), VA(S1), WI(S1), WV(SH)"
Agalinis obtusifolia,"AL(SNR), DC(SNR), DE(SH), FL(SNR), GA(SNR), LA(S3?), MD(SH), MS(SNR), NC(S2S3), PA(SNR), SC(SNR), TN(SNR), TV(SNR), VA(S4)"
Agalinis paupercula,"CT(SNR), IA(S3), IL(SNR), IN(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), NH(SNR), NJ(SNR), NY(S4?), OH(SNR), PA(S1), RI(SNR), TV(SNR), VA(S1), VT(S3), WI(SNR), MB(SH), NB(S1), ON(S4S5), QC(S4)"
Agalinis paupercula var. borealis,"IA(SNR), IL(SNR), IN(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), NH(SNR), NY(S3), OH(SNR), PA(SNR), VT(SNR), WI(SNR), MB(SH), NB(S1), ON(SU), QC(S4)"
Agalinis paupercula var. paupercula,"CT(SNR), IA(SNR), IL(SNR), IN(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), NH(SNR), NJ(S2), NY(S3?), OH(SNR), PA(SNR), RI(SNR), VA(SNR), VT(SNR), WI(SNR), ON(SU)"
Agalinis purpurea,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(S5), GS(P1), IA(S3), IL(SNR), IN(SNR), KS(S1), KY(S4?), LA(SNR), MA(SNR), MD(SNR), ME(S1?), MI(SNR), MN(SNR), MO(S2), MS(SNR), NC(S5), NE(S1S3), NJ(S5), NY(S3S4), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), WI(SNR), WV(S3), ON(S1)"
