SNAME,SUBNATIONS_SRANKS
Polygonum ramosissimum var. prolificum,"AK(SNR), CA(SNR), CT(SNR), DE(S1), IA(SNR), ID(SNR), IL(S1), KS(SNR), KY(SU), MA(SNR), MD(SNR), ME(SNR), MN(SNR), NC(S1), ND(SNR), NE(SNR), NH(S1), NJ(S4), NM(SNR), NY(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), TN(SNR), TX(SNR), VA(S3), VT(SU), WA(SNR), WV(SH), WY(SNR), AB(SNR), MB(S4), ON(SU), SK(S4?)"
Polygonum ramosissimum var. ramosissimum,"AK(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SNR), DE(S1), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KS(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), ND(SNR), NE(SNR), NH(S3), NJ(S4), NM(SNR), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VT(SNR), WA(SNR), WI(SNR), WY(SNR), AB(SNR), MB(SNR), NB(S4), NS(S4), ON(S4), PE(S2S3), SK(S5?)"
Polygonum robustius,"CT(SNR), FL(SNR), IN(SNR), KY(SNR), MA(SNR), MD(SU), ME(SH), MI(SNR), MO(SU), NH(S1), NJ(S3S4), NY(S5), OH(S2), PA(S4), RI(SNR), TX(SNR), NS(S3S4), ON(S2), QC(S1)"
Polygonum sagittatum,"AL(SNR), AR(SNR), CO(S1), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(SNR), GS(P2P3), IA(S4), IL(S3S4), IN(SNR), KS(S1), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), ND(SH), NE(SNR), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), LB(SU), MB(S3), NB(S5), NF(SNA), NS(S5), ON(S4), PE(S5), QC(S4S5)"
Polygonum scandens,"AL(SNR), AR(SNR), CO(SNR), CT(SNR), DC(SNR), DE(SNR), FL(SNR), GA(SNR), GS(P3P4), IA(S4), IL(S4S5), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S4), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), WY(S1?), AB(SNA), BC(SNR), MB(SNR), NB(S3), NS(S3), ON(S4S5), PE(S1), QC(SNR), SK(S2)"
Polygonum scandens var. cristatum,"AL(SNR), AR(SNR), CT(SNR), DE(SNR), FL(SNR), GA(SNR), IA(SNR), IL(S3S4), IN(SNR), KY(SNA), MA(SNR), MD(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S2?), NJ(S5), NY(S4), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S4), VT(SNR), WV(S5)"
Polygonum scandens var. dumetorum,"AR(SNR), CT(SNR), DE(SNA), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), MI(SU), MN(SNR), MO(SNR), MS(SNR), NJ(SNA), NY(SNA), OH(SNR), PA(SNR), TN(SNR), WV(SNA)"
Polygonum scandens var. scandens,"AL(SNR), AR(SNR), CT(SNR), DE(SNR), FL(SNR), GA(SNR), IL(SNR), IN(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(SU), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WV(S5), WY(SNR), AB(SNR), MB(SNR), NB(S3), NS(S3), ON(S4S5), QC(SNR), SK(S2)"
Persicaria setacea,"AL(SNR), AR(SNR), DE(SNR), FL(SNR), GA(SNR), GS(PH), IL(SNR), IN(S1), KY(SNR), LA(SNR), MA(S2), MD(SU), MI(SNR), MO(SNR), MS(SNR), NC(S5), NJ(SNR), NY(S1S2), OH(S1), OK(SNR), PA(S2), RI(SH), SC(SNR), TN(SNR), TX(SNR), VA(S4), WA(SNR)"
Polygonum setaceum var. interjectum,"IL(S3?), IN(SNR), KY(S3S4), MA(SNR), MI(SNR), NC(SNR), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR)"
Polygonum tenue,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SH), GA(SNR), IA(S4), IL(S3S4), IN(SNR), KS(SNR), KY(S4?), LA(SU), MA(S2S3), MD(SNR), ME(SH), MI(SNR), MN(SNR), MO(SNR), NC(S2?), NE(SNR), NH(S1), NJ(S3S4), NY(S3), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S4), WI(SNR), WV(S4), WY(SNR), ON(S2)"
Polygonum tenue var. tenue,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SNR), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), NC(SNR), NE(SNR), NH(SNR), NJ(SNR), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(SNR), VT(SNR), WI(SNR), WV(S4), WY(SNR), ON(S2)"
Polygonum virginianum,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S4), FL(SNR), GA(SNR), GS(P4), IA(S4), IL(S5), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NE(SNR), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), NT(SNR), ON(S4), QC(S3)"
Polymnia canadensis,"AL(SNR), AR(SNR), CT(S1), DC(SNR), GA(S5), GS(P2), IA(S3), IL(SNR), IN(SNR), KS(S1), KY(S5), MD(SNR), MI(SNR), MN(SNR), MO(SNR), NC(S2), NY(S4), OH(SNR), OK(SNR), PA(SNR), TN(SNR), VA(S5), VT(S1), WI(SNR), WV(S5), ON(S4)"
Polypodium appalachianum,"AL(SNR), CT(SNR), DC(SNR), DE(SNR), GA(SNR), KY(S5), MA(SNR), MD(SNR), ME(SNR), NC(S4), NH(SNR), NJ(S4), NY(S5), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), VA(S4?), VT(SNR), WV(S4), NB(S3), NF(S2S3), NS(S3?), ON(S1), PE(S1)"
Polypodium virginianum,"AL(S4), AR(SNR), CT(SNR), DC(SNR), DE(S3), GA(SNR), GS(P5), IA(S3), IL(S3), IN(SNR), KY(S5), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), NC(S5), NH(SNR), NJ(S5), NY(S5), OH(SNR), PA(SNR), RI(SNR), SC(SNR), SD(S1), TN(S4S5), VA(S5?), VT(SNR), WI(SNR), WV(S5), AB(SNR), LB(S2S3), MB(S5), NB(S5), NF(S2S3), NS(S5), NT(SU), ON(S5), PE(S1), QC(S5), SK(S5)"
Polypodium x incognitum,"KY(SNA), MA(SNA), NC(SNA), NH(SNA), NJ(SNA), OH(SNA), PA(SNA), TN(SNA), VA(SNA), VT(SNA), WV(SNA), ON(S1)"
Polypremum procumbens,"AL(SNR), AR(SNR), DC(SNR), DE(S4), FL(SNR), GA(SNR), IL(SX), IN(SNR), KY(SU), LA(SNR), MD(SNR), MO(S2), MS(SNR), NC(S5), NJ(S1), NY(SNR), OK(SNR), PA(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), MXSO(SNR)"
Polystichum acrostichoides,"AL(SNR), AR(SNR), CT(SNR), DC(S4), DE(S5), FL(S4), GA(SNR), GS(P5), IA(S4), IL(S5), IN(SNR), KS(S2), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(S2), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(S2), WV(S5), NB(S5), NS(S5), ON(S5), PE(S3), QC(S4)"
Polystichum acrostichoides var. acrostichoides,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SNR), FL(SNR), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NH(SNR), NJ(S5), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(SNR), VT(SNR), WI(SNR), WV(SNR), NB(S5), NS(S5), ON(SNR), PE(S3), QC(SNR)"
Polystichum braunii,"AK(SNR), CT(SNR), ID(S1), MA(S1), ME(SNR), MI(SNR), MN(S1), NH(SNR), NJ(SNR), NY(S4), PA(S1), VT(SNR), WI(S3), BC(S3S4), LB(S1), NB(S4), NF(S3S4), NS(S4), ON(S3), PE(S1), QC(S3)"
Polystichum x hagenahii,"NY(SNA), PA(SNA), ON(SH)"
Polystichum x potteri,"MA(SNR), ME(SNA), NH(SNA), NY(SNA), PA(SNR), VT(SNA), NB(SNA), NS(SNA), QC(SNA)"
Pontederia cordata,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(SNR), IA(S3), IL(S3S4), IN(SNR), KS(S1), KY(S1S2), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S4), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TV(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(SNA), BC(SNR), NB(S4S5), NS(S5), ON(S5), PE(S1), QC(S5)"
Populus balsamifera,"AK(SNR), CA(SNR), CO(SNR), CT(SU), DC(SNA), DE(SNA), GS(PNA), IA(SNA), ID(SNR), IL(S1), IN(SX), KY(S2S4), MA(SNR), ME(SNR), MI(SNR), MN(SNR), MT(S5), NC(SNA), ND(SNR), NE(SNR), NH(SNR), NV(SNR), NY(SNR), OH(S1), OR(SNR), PA(S1), RI(SNR), SD(S4), UT(SNR), VA(SNA), VT(SNR), WA(SNR), WI(SNR), WV(S1), WY(S3), AB(S5), BC(S5), LB(S3), MB(S5), NB(S5), NF(S2S3), NS(S4), NT(SNR), NU(SNR), ON(S5), PE(S2S3), QC(S5), SK(S5), YT(S5)"
Populus balsamifera ssp. balsamifera,"AK(SNR), CO(SNR), CT(SNR), DC(SNR), DE(SNR), IA(SNA), ID(SNR), IN(SNR), MA(S2S3), MD(SNR), ME(SNR), MI(SNR), MN(SNR), ND(SNR), NE(SNR), NH(SNR), NY(S4S5), OH(SNR), OR(SNR), PA(SNR), RI(SNR), SD(SNR), VT(SNR), WV(S1), WY(S3S4), AB(SNR), BC(SNR), LB(S3), MB(S5), NB(S5), NF(S2S3), NS(S4), NT(SNR), NU(SNR), ON(S5), PE(S2S3), QC(SNR), SK(S5), YT(S5)"
Populus deltoides,"AL(S4S5), AR(SNR), CO(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(SNR), GS(P1), IA(S5), IL(S5), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(S5), NC(S4), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(S5), TN(SNR), TX(SNR), UT(SNR), VA(S5), VT(SNR), WI(SNR), WV(S4), WY(S4S5), AB(S3), BC(SNR), MB(S4), ON(S5), QC(S4S5), SK(S5?)"
Populus deltoides ssp. deltoides,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SNA), FL(SNR), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NM(SNR), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(SNR), VT(SNR), WV(S4), BC(SNA), ON(SU), QC(S4S5)"
Populus grandidentata,"CT(SNR), DC(SNR), DE(S5), GS(P1), IA(S4), IL(S4S5), IN(SNR), KY(S4?), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(S1), NC(S2), ND(SNR), NH(SNR), NJ(S5), NY(S5), OH(SNR), PA(S5), RI(SNR), TN(S2), TV(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), BC(SNR), MB(S1S2), NB(S5), NS(S5), ON(S5), PE(S5), QC(S4)"
Populus heterophylla,"AL(S2), AR(SNR), CT(S2), DE(S5), FL(SNR), GA(S4), IL(S3?), IN(SNR), KY(S3S4), LA(SNR), MA(S1), MD(SNR), MI(S1), MO(SNR), MS(S4S5), NC(S4), NJ(S2), NY(S2), OH(S3), PA(SH), RI(S1), SC(SNR), TN(SNR), TV(SNR), VA(S4), ON(S1)"
Populus tremuloides,"AK(SNR), AR(SNA), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SNA), IA(S4), ID(SNR), IL(S5), IN(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(S2), MT(S5), NC(SNR), ND(SNR), NE(S2?), NH(SNR), NJ(S5), NM(SNR), NV(SNR), NY(S5), OH(SNR), OR(SNR), PA(S5), RI(SNR), SD(SNR), TX(SNR), UT(SNR), VA(S2), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(S5), MXSO(SNR), AB(S5), BC(S5), LB(S4), MB(S5), NB(S5), NF(S4), NS(S5), NT(SNR), NU(SNR), ON(S5), PE(S5), QC(S5), SK(S5), YT(S5)"
Populus x jackii,"AR(SNA), CO(SNA), CT(SNA), DE(SNA), GA(SNR), IA(SNA), ID(SNA), IL(SNA), IN(SNA), KY(SNR), MA(SNR), MD(SNA), ME(SNA), MI(SNA), MN(SNR), MO(SNA), MT(SNA), NC(SNA), ND(SNR), NE(SNA), NH(SNA), NJ(SNA), NY(SNA), OH(SNA), PA(SNR), RI(SNA), SD(SNA), TN(SNA), VT(SNA), WI(SNA), WV(SNA), WY(SNR), AB(SNA), MB(SNA), NB(SNA), NS(SNA), ON(S2), QC(SNA), SK(SNA)"
Porteranthus trifoliatus,"AL(SNR), AR(SNR), DC(SNR), DE(SH), GA(S5), GS(P3P4), IL(SNR), KY(S4?), MA(SNR), MD(SNR), MI(S1), MO(SH), NC(S5), NJ(S2), NY(S4?), OH(S3), PA(SNR), RI(SNA), SC(SNR), TN(SNR), VA(S4S5), WV(S4), ON(SX)"
Potamogeton amplifolius,"AL(SNR), AR(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SH), GA(S1), GS(P1), IA(S1), ID(SNR), IL(S1), IN(SNR), KS(S1), KY(S1?), MA(SNR), MD(S1), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(S1), ND(S2S3), NE(S1), NH(SNR), NJ(S4), NY(S5), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SD(S1), TN(S1), TV(SNR), VA(S1S2), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(S1), BC(S4), MB(S2?), NB(S4), NF(S2), NS(S4), ON(S5), QC(S5), SK(S1)"
Potamogeton bicupulatus,"CT(SNR), IN(S1), MA(SNR), ME(S3), MI(S2), MN(S1), NH(SNR), NJ(S4), NY(S5), PA(S4), RI(SNR), VA(S1), VT(S2), WI(S2S3), ON(S3)"
Potamogeton confervoides,"CT(S1), MA(S2), ME(S3), MI(S3), MN(SNR), NC(S2), NH(S3), NJ(S2), NY(S3), PA(S2), RI(SH), SC(S1), VT(S2), WI(S2), LB(S1?), NB(S4), NF(S3S4), NS(S4S5), ON(S2), QC(S2S3)"
Potamogeton diversifolius,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(S1), DC(SNR), DE(S4), FL(SNR), GA(SNR), IA(S3), ID(S1), IL(S3S4), IN(S4), KS(SNR), KY(S5), LA(SNR), MA(S1), MD(SNR), MI(SNR), MN(S1), MO(SNR), MS(SNR), MT(SNR), NC(S5), ND(S2S3), NE(S2), NJ(S4), NM(SNR), NV(SNR), NY(S1), OH(SNR), OK(SNR), OR(S1), PA(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(S2), WV(S5), WY(S1)"
Potamogeton epihydrus,"AK(SNR), AL(SNR), CA(S2S3), CO(SNR), CT(SNR), DC(SNR), DE(S4), GA(SNR), GS(PNR), IA(SU), ID(SNR), IL(S1), IN(S1), KY(SH), LA(SH), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SH), MS(S1), MT(SNR), NC(S3?), NH(SNR), NJ(S5), NV(SNR), NY(S5), OH(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(S1S2), TV(SNR), UT(S1), VA(S4), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(S2), BC(S5), LB(SNR), MB(S4), NB(S5), NF(S4S5), NS(S5), ON(S4S5), PE(S2), QC(S5), SK(S2S3)"
Potamogeton foliosus,"AK(SNR), AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SNR), DE(S4), FL(SNR), GA(SNR), HI(SNR), IA(S4), ID(SNR), IL(S3S4), IN(SNR), KS(SNR), KY(S4?), LA(SNR), MA(SNR), MD(S1), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(S2), ND(SNR), NE(SNR), NH(SH), NJ(SNR), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(S4), UT(SNR), VA(S4), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(S3), AB(S2), BC(S4), MB(S3S4), NB(S4), NF(S1), NS(S4S5), NT(SNR), ON(S5), PE(S3S4), SK(S4), YT(S2)"
Potamogeton foliosus ssp. foliosus,"AK(SNR), AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SX), DE(SNR), FL(SNR), GA(S2?), HI(SNR), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NM(SNR), NV(SNR), NY(S5), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S4), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(SNR), AB(SNR), BC(SNR), MB(S3S4), NB(S4), NF(S1), NS(S4S5), NT(SNR), ON(SU), PE(S3S4), QC(S3S4), SK(S4), YT(S2)"
Potamogeton friesii,"AK(SNR), CT(S1), IA(S3), ID(SNR), IL(S1), IN(S1), MA(S1), ME(S1), MI(SNR), MN(SNR), MT(SNR), ND(SNR), NE(S2), NJ(SNR), NY(S4?), OH(S1), PA(S1), SD(SNR), UT(S1), VA(SH), VT(S3), WA(SNR), WI(SNR), WY(S1), AB(S4), BC(S4), MB(S4), NB(S1), NF(S1S2), NS(S2), NT(SNR), NU(SNR), ON(S4), PE(S4S5), QC(S3), SK(S5), YT(S5)"
Potamogeton gramineus,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SNR), IA(S3), ID(SNR), IL(S1), IN(SNR), KS(SH), MA(SNR), ME(SNR), MI(SNR), MN(SNR), MT(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(S5), OH(S1), OR(SNR), PA(S1), RI(SNR), SD(SNR), UT(SNR), VT(SNR), WA(SNR), WI(SNR), WV(SNR), WY(S3), AB(S4), BC(S4), LB(SNR), MB(S5), NB(S5), NF(S5), NS(S5), NT(SNR), NU(SNR), ON(S5), QC(S5), SK(S5), YT(S4)"
Potamogeton hillii,"CT(S1), MA(S3), MI(S2), NY(S2), OH(S1), PA(S1), VA(S1), VT(S3), WI(S1), ON(S2)"
Potamogeton illinoensis,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SH), FL(SNR), GA(SNR), IA(S4), ID(SNR), IL(S2S3), IN(SNR), KS(S1), KY(S2), MA(SNR), MD(S1), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(S1), NE(SNR), NH(SNR), NJ(S1), NM(SNR), NV(SNR), NY(S5), OH(SNR), OK(SNR), OR(SNR), PA(S4), SC(SNR), SD(SNR), TX(SNR), UT(S1), VA(S3S4), VT(SNR), WA(SNR), WI(SNR), WV(S2), WY(S1), BC(S3S4), MB(S2), NT(SNR), ON(S4), QC(S2), SK(SNR)"
Potamogeton natans,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(S1), IA(S4), ID(SNR), IL(S3S4), IN(SNR), KS(S1), MA(SNR), MD(SU), ME(SNR), MI(SNR), MN(SNR), MT(SNR), NC(SH), ND(S2), NE(SNR), NH(SNR), NJ(S3S4), NM(SNR), NV(SNR), NY(S5), OH(S3), OK(S1), OR(SNR), PA(SNR), RI(SNR), SD(SNR), TV(SNR), UT(S1), VT(SNR), WA(SNR), WI(SNR), WV(S1), WY(S2), AB(S3), BC(S5), MB(S5), NB(S5), NF(S4), NS(S5), NT(SNR), ON(S5), PE(S4S5), QC(S5), SK(SNR), YT(S1S3)"
Potamogeton nodosus,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SNR), DE(S4), FL(SNR), GA(SNR), HI(SNR), IA(S4), ID(SNR), IL(S3S4), IN(SNR), KS(SNR), KY(S3), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(SH), ND(SNR), NE(SNR), NH(S1), NJ(S3S4), NM(SNR), NV(SNR), NY(S5), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TV(SNR), TX(SNR), UT(SNR), VA(S4), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(S1), MXSO(SNR), AB(S1), BC(S1), NB(S1), NS(S1), ON(S5), QC(S3S4), SK(SNR)"
Potamogeton oakesianus,"CT(SNR), IN(S1), MA(SNR), ME(SNR), MI(SNR), MN(SNR), NH(SNR), NJ(S2), NY(S5), PA(S1S2), RI(SNR), TN(SNR), VA(S2), VT(SNR), WI(SNR), WV(SH), BC(S2S3), LB(SH), NB(S3S4), NF(S4), NS(S4S5), ON(S4), PE(S1), QC(S3S4)"
Potamogeton obtusifolius,"AK(S2S3), CT(SNR), KS(S2?), MA(S1?), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(S3), NE(SNR), NH(SH), NJ(S1), NY(S4), PA(S1), RI(SNR), VT(S3), WA(S2), WI(SNR), WY(S1), AB(S2), BC(S4), MB(S3?), NB(S3), NF(S1), NS(S2S3), NT(SNR), NU(SNR), ON(S4S5), PE(S2), QC(S3), SK(S2), YT(S1)"
Potamogeton perfoliatus,"AL(SNR), CT(SNR), DC(SH), DE(SU), FL(SNR), LA(SH), MA(SNR), MD(S2), ME(SNR), MI(SNR), MN(SNR), MS(SNR), NC(S3), NH(SNR), NJ(S4), NY(S5), OH(SH), PA(S3S4), RI(SNR), TX(SNR), VA(S3), VT(SNR), WI(S1), BC(S2S3), LB(S1S3), NB(S4S5), NF(S4), NS(S4S5), ON(S4), PE(S4?), QC(S5), YT(SNR)"
Potamogeton praelongus,"AK(SNR), CA(S1S2), CO(SNR), CT(SNR), IA(S1), ID(SNR), IL(S1), IN(S1), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(SNR), ND(S1), NE(S1), NH(SH), NJ(S1), NY(S5), OH(S1), OR(SNR), PA(S1), SD(SNR), UT(SNR), VT(SNR), WA(SNR), WI(SNR), WY(S1S2), AB(S3), BC(S4), LB(SNR), MB(S5), NB(S2S3), NF(S2S3), NS(S3?), NT(SNR), NU(SNR), ON(S4S5), PE(S4S5), QC(S4), SK(S4), YT(S4)"
Potamogeton pulcher,"AL(SNR), AR(S3), CT(SNR), DE(S5), FL(SNR), GA(SNR), IL(S1), IN(S1), KY(S1S2), LA(SNR), MA(SNR), MD(SNR), ME(S1), MI(S2), MN(SNR), MO(S2S3), MS(SNR), NC(S4), NH(SNR), NJ(S3S4), NY(S2), OH(S2), OK(SNR), PA(S1), RI(SNR), SC(SNR), TN(SNR), TV(SNR), TX(SNR), VA(S4), VT(SNR), WI(S1), WV(S1), NS(S1S2), ON(SH)"
Potamogeton pusillus,"AK(SNR), AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(S4S5), DC(SH), DE(S1), FL(SNR), GA(S1?), IA(S3), ID(SNR), IL(S3S4), IN(S2), KS(SNR), KY(S4?), LA(SNR), MA(SNR), MD(S1), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(S4), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S4), VT(SNR), WA(SNR), WI(SNR), WV(S3), WY(S3), AB(S5), BC(SNR), LB(SNR), MB(S5), NB(S5), NF(SNR), NS(S5), NT(SNR), ON(S4S5), PE(S4), QC(SNR), SK(S2S4), YT(S5)"
Potamogeton pusillus ssp. pusillus,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SNR), FL(SNR), GA(SU), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KS(S2), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(S1), MS(SNR), MT(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NM(SNR), NV(SNR), NY(S5), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S4?), VT(SNR), WA(SNR), WI(SNR), WV(S3), WY(S3?), AB(SNR), BC(S4), MB(S5), NB(S4), NS(S5), NT(SNR), ON(SU), PE(S4?), QC(S3S4), SK(S4), YT(SNR)"
